"Urban_Area","Pop_Group","Yr","Population","Pop_Rank","Commuters","Freeway_Daily_Miles","Street_Daily_Miles","Value_of_Time","Comm_Value_of_Time","Gas_Cost","Diesel_Cost","Excess_Fuel_Gal","Excess_Fuel_Per_Com","Annual_Delay_Hours","Delay_Per_Commuter","Com_Stress_Ind","Congestion_Cost","Congest_Cost_Per_Com"
"San Jose CA 2014","Lrg","2014","1950","25","1013","27553","17794","17.67","94.04","3.63","3.85","43972","28","104559","67","1.5","2230","1422"
"San Juan PR 2011","Lrg","2011","2140","21","1100","12549","13120","16.79","86.81","3.75","4.1","32325","23","58328","40","1.34","1633","1170"
"San Juan PR 2010","Lrg","2010","2130","21","1091","12426","12891","16.3","88.12","3.47","4.04","31749","23","57289","39","1.33","1655","1186"
"San Juan PR 2012","Lrg","2012","2110","21","1087","11110","12770","17.14","89.56","4.11","4.79","32879","24","59328","41","1.35","1628","1166"
"San Juan PR 2013","Lrg","2013","2075","21","1069",,,"17.39","89.6","4.35","4.91","33134","24","59788","42","1.35","1617","1158"
"San Juan PR 2014","Lrg","2014","2055","21","1038","0","0","17.67","94.04","4.21","4.86","33418","24","60301","43","1.36","1605","1150"
"Sarasota-Bradenton FL 2011","Med","2011","645","63","329","2517","6308","16.79","86.81","3.24","3.65","6121","12","13085","25","1.16","306","577"
"Sarasota-Bradenton FL 2010","Med","2010","640","63","325","2491","6244","16.3","88.12","2.74","2.96","6009","11","12845","25","1.16","310","584"
"Sarasota-Bradenton FL 2012","Med","2012","650","63","332","2405","6295","17.14","89.56","3.5","3.87","6171","12","13190","25","1.16","302","570"
"Sarasota-Bradenton FL 2013","Med","2013","660","63","337","2623","6235","17.39","89.6","3.47","3.9","6454","12","13796","26","1.17","311","587"
"Sarasota-Bradenton FL 2014","Med","2014","670","63","336","2641","6335","17.67","94.04","3.27","3.6","6574","12","14053","26","1.17","312","589"
"Seattle WA 2011","Vlg","2011","3220","14","1451","33207","27828","16.79","86.81","3.6","3.96","58247","26","131091","61","1.45","3249","1471"
"Seattle WA 2010","Vlg","2010","3200","14","1437","32197","27413","16.3","88.12","2.95","3.24","56895","26","128047","60","1.45","3274","1482"
"Seattle WA 2012","Vlg","2012","3260","14","1471","30745","27695","17.14","89.56","3.68","4.11","59584","27","134099","62","1.45","3257","1474"
"Seattle WA 2013","Vlg","2013","3310","14","1494","28553","28187","17.39","89.6","3.74","4.02","61809","28","139107","63","1.46","3330","1507"
"Seattle WA 2014","Vlg","2014","3325","14","1501","28010","27708","17.67","94.04","3.54","3.77","62136","28","139842","63","1.46","3294","1491"
"Spokane WA 2011","Sml","2011","385","85","191","2369","4262","16.79","86.81","3.6","3.96","7558","22","12397","37","1.17","313","914"
"Spokane WA 2010","Sml","2010","380","85","188","2300","4240","16.3","88.12","2.95","3.24","7481","22","12270","37","1.17","320","933"
"Spokane WA 2012","Sml","2012","385","85","191","2135","4145","17.14","89.56","3.68","4.11","7670","22","12580","38","1.17","311","909"
"Spokane WA 2013","Sml","2013","385","85","191","2153","4233","17.39","89.6","3.74","4.02","7819","23","12825","38","1.18","313","913"
"Spokane WA 2014","Sml","2014","390","85","197","2200","4377","17.67","94.04","3.54","3.77","7928","23","13004","38","1.17","312","911"
"Springfield MA-CT 2011","Med","2011","625","65","315","5613","5899","16.79","86.81","3.49","3.73","9029","18","17826","36","1.14","415","846"
"Springfield MA-CT 2010","Med","2010","625","65","314","5604","5890","16.3","88.12","2.75","3.04","8953","18","17677","36","1.14","425","866"
"Springfield MA-CT 2012","Med","2012","625","65","316","5375","6010","17.14","89.56","3.53","3.93","9242","19","18247","37","1.14","416","849"
"Springfield MA-CT 2013","Med","2013","625","65","316","5669","6421","17.39","89.6","3.58","3.94","9303","19","18368","37","1.14","413","842"
"Springfield MA-CT 2014","Med","2014","625","67","310","5850","6389","17.67","94.04","3.46","3.69","9335","19","18431","38","1.14","408","831"
"St. Louis MO-IL 2011","Lrg","2011","2195","20","1137","30207","19743","16.79","86.81","3.24","3.54","32329","20","67959","42","1.18","1688","1052"
"St. Louis MO-IL 2010","Lrg","2010","2195","20","1133","30181","19726","16.3","88.12","2.49","2.77","32302","20","67901","42","1.18","1740","1085"
"St. Louis MO-IL 2012","Lrg","2012","2200","20","1142","29490","19185","17.14","89.56","3.3","3.69","32565","20","68455","42","1.18","1666","1039"
"St. Louis MO-IL 2013","Lrg","2013","2200","20","1142","30557","19248","17.39","89.6","3.36","3.67","32801","20","68951","42","1.19","1654","1031"
"St. Louis MO-IL 2014","Lrg","2014","2200","20","1120","31260","19537","17.67","94.04","3.16","3.47","32991","21","69350","43","1.19","1637","1020"
"Stockton CA 2011","Sml","2011","385","85","201","3591","2235","16.79","86.81","3.51","4.02","2053","7","4997","17","1.14","152","531"
"Stockton CA 2010","Sml","2010","380","85","198","3547","2208","16.3","88.12","3.05","3.2","2014","7","4901","17","1.14","154","537"
"Stockton CA 2012","Sml","2012","380","86","199","3740","2245","17.14","89.56","3.89","4.2","2068","7","5032","17","1.15","150","523"
"Stockton CA 2013","Sml","2013","375","86","196","3595","2242","17.39","89.6","3.89","4.12","2082","7","5067","18","1.15","149","519"
"Stockton CA 2014","Sml","2014","375","86","193","3635","2258","17.67","94.04","3.63","3.85","2102","7","5115","18","1.15","148","516"
"Tampa-St. Petersburg FL 2011","Lrg","2011","2440","18","1264","14360","28370","16.79","86.81","3.24","3.65","29934","17","67736","39","1.23","1581","903"
"Tampa-St. Petersburg FL 2010","Lrg","2010","2395","18","1237","14174","28002","16.3","88.12","2.74","2.96","29391","17","66508","39","1.23","1602","914"
"Tampa-St. Petersburg FL 2012","Lrg","2012","2470","19","1282","14155","27185","17.14","89.56","3.5","3.87","30780","18","69650","40","1.23","1593","910"
"Tampa-St. Petersburg FL 2013","Lrg","2013","2500","19","1277","14318","27108","17.39","89.6","3.47","3.9","31405","18","71064","41","1.24","1602","915"
"Tampa-St. Petersburg FL 2014","Lrg","2014","2540","19","1270","14418","27894","17.67","94.04","3.27","3.6","31654","18","71628","41","1.24","1589","907"
"Toledo OH-MI 2011","Med","2011","520","75","272","4013","4344","16.79","86.81","3.25","3.69","7995","19","15048","36","1.18","380","916"
"Toledo OH-MI 2010","Med","2010","520","75","271","4021","4352","16.3","88.12","2.64","2.96","7697","19","14486","35","1.18","377","909"
"Toledo OH-MI 2012","Med","2012","520","75","273","3770","4055","17.14","89.56","3.58","3.87","8151","20","15340","37","1.18","379","915"
"Toledo OH-MI 2013","Med","2013","525","77","275","4165","4547","17.39","89.6","3.48","3.91","8355","20","15723","38","1.19","383","924"
"Toledo OH-MI 2014","Med","2014","525","77","270","4332","4729","17.67","94.04","3.16","3.67","8451","20","15905","38","1.19","381","920"
"Tucson AZ 2011","Med","2011","825","52","406","3793","10832","16.79","86.81","3.19","3.68","16074","21","33104","46","1.23","829","1092"
"Tucson AZ 2010","Med","2010","810","52","397","3761","10741","16.3","88.12","2.7","2.99","16034","21","33022","47","1.23","853","1124"
"Tucson AZ 2012","Med","2012","840","52","414","3755","10680","17.14","89.56","3.34","3.94","16438","22","33854","46","1.23","830","1094"
"Tucson AZ 2013","Med","2013","850","52","426","3784","11308","17.39","89.6","3.47","3.77","16594","22","34176","45","1.23","826","1089"
"Tucson AZ 2014","Med","2014","865","52","426","3826","11760","17.67","94.04","3.23","3.55","17477","23","35993","47","1.24","856","1128"
"Tulsa OK 2011","Med","2011","715","60","376","7634","8197","16.79","86.81","3.26","3.53","12824","19","27540","42","1.17","651","940"
"Tulsa OK 2010","Med","2010","710","60","372","7581","8140","16.3","88.12","2.55","2.76","12446","18","26729","41","1.17","652","941"
"Tulsa OK 2012","Med","2012","720","59","379","7440","8160","17.14","89.56","3.33","3.75","12968","19","27850","42","1.17","645","931"
"Tulsa OK 2013","Med","2013","730","59","384","7886","8985","17.39","89.6","3.35","3.66","13464","19","28915","43","1.17","660","953"
"Tulsa OK 2014","Med","2014","750","58","402","8036","9129","17.67","94.04","3.21","3.43","14128","20","30341","44","1.18","682","984"
"Virginia Beach VA 2011","Lrg","2011","1450","33","750","13144","18165","16.79","86.81","3.29","3.6","19147","18","46019","43","1.22","1024","956"
"Virginia Beach VA 2010","Lrg","2010","1450","33","748","13110","18118","16.3","88.12","2.63","2.88","19096","18","45895","43","1.22","1053","984"
"Virginia Beach VA 2012","Lrg","2012","1455","35","754","13120","16405","17.14","89.56","3.39","3.78","19185","18","46111","43","1.22","1005","939"
"Virginia Beach VA 2013","Lrg","2013","1455","35","746","13003","15843","17.39","89.6","3.37","3.77","19451","18","46750","44","1.22","1004","938"
"Virginia Beach VA 2014","Lrg","2014","1460","35","742","13003","15875","17.67","94.04","3.09","3.48","20085","19","48274","45","1.23","1020","953"
"Washington DC-VA-MD 2011","Vlg","2011","4650","8","1757","40082","49729","16.79","86.81","3.58","3.74","86134","35","199747","84","1.44","4690","1886"
"Washington DC-VA-MD 2010","Vlg","2010","4560","8","1717","39413","48899","16.3","88.12","2.86","3.11","85165","34","197499","85","1.44","4783","1924"
"Washington DC-VA-MD 2012","Vlg","2012","4740","8","1795","37680","45105","17.14","89.56","3.66","4.08","86607","35","200844","83","1.43","4620","1858"
"Washington DC-VA-MD 2013","Vlg","2013","4825","8","1827","37786","44894","17.39","89.6","3.79","4.05","86908","35","201541","82","1.42","4569","1838"
"Washington DC-VA-MD 2014","Vlg","2014","4920","8","1838","39071","45433","17.67","94.04","3.2","3.52","88130","35","204375","82","1.43","4560","1834"
"Wichita KS 2011","Med","2011","510","76","274","4558","4805","16.79","86.81","3.3","3.64","8068","17","15829","33","1.4","402","827"
"Wichita KS 2010","Med","2010","510","76","272","4500","4796","16.3","88.12","2.61","2.89","7793","16","15289","32","1.39","401","824"
"Wichita KS 2012","Med","2012","510","79","276","4215","4840","17.14","89.56","3.38","3.86","8255","17","16196","34","1.4","403","829"
"Wichita KS 2013","Med","2013","515","79","281","4070","5058","17.39","89.6","3.42","3.81","8330","17","16343","34","1.4","401","824"
"Wichita KS 2014","Med","2014","515","79","282","4005","5023","17.67","94.04","3.24","3.57","8594","18","16860","35","1.4","407","837"
"Winston-Salem NC 2011","Sml","2011","400","84","210","4777","1665","16.79","86.81","3.32","3.64","2362","7","6014","19","1.14","140","429"
"Winston-Salem NC 2010","Sml","2010","395","84","206","4740","1700","16.3","88.12","2.7","2.93","2376","7","6051","19","1.14","145","446"
"Winston-Salem NC 2012","Sml","2012","405","84","213","4685","1765","17.14","89.56","3.49","3.89","2369","7","6031","19","1.13","137","422"
"Winston-Salem NC 2013","Sml","2013","410","84","215","4792","1766","17.39","89.6","3.44","3.89","2379","7","6058","19","1.13","136","418"
"Winston-Salem NC 2014","Sml","2014","415","84","214","4969","1833","17.67","94.04","3.2","3.58","2400","7","6111","19","1.13","135","415"
"Worcester MA-CT 2011","Sml","2011","475","80","242","5764","4740","16.79","86.81","3.49","3.73","6203","18","12677","37","1.14","307","878"
"Worcester MA-CT 2010","Sml","2010","470","80","238","5751","4729","16.3","88.12","2.82","3.04","6140","18","12547","37","1.14","313","897"
"Worcester MA-CT 2012","Sml","2012","480","80","245","5680","4780","17.14","89.56","3.53","3.93","6155","18","12578","36","1.14","298","854"
"Worcester MA-CT 2013","Sml","2013","485","80","247","6225","5056","17.39","89.6","3.58","3.94","6401","18","13079","37","1.15","305","875"
"Worcester MA-CT 2014","Sml","2014","490","80","245","6107","5243","17.67","94.04","3.42","3.65","6432","18","13143","38","1.15","302","865"
