"Urban_Area","Pop_Group","Yr","Population","Pop_Rank","Commuters","Freeway_Daily_Miles","Street_Daily_Miles","Value_of_Time","Comm_Value_of_Time","Gas_Cost","Diesel_Cost","Excess_Fuel_Gal","Excess_Fuel_Per_Com","Annual_Delay_Hours","Delay_Per_Commuter","Com_Stress_Ind","Congestion_Cost","Congest_Cost_Per_Com"
"Milwaukee WI 2013","Lrg","2013","1410","37","699","11340","13962","17.39","89.6","3.63","3.91","21847","22","37469","37","1.2","995","998"
"Milwaukee WI 2014","Lrg","2014","1410","37","689","11170","14241","17.67","94.04","3.32","3.65","21957","22","37659","38","1.2","984","987"
"Minneapolis-St. Paul MN-WI 2011","Lrg","2011","2760","16","1356","30383","23919","16.79","86.81","3.39","3.72","36822","17","95261","46","1.3","2208","1041"
"Minneapolis-St. Paul MN-WI 2010","Lrg","2010","2730","16","1337","30085","23685","16.3","88.12","2.71","3.01","35835","17","92707","45","1.3","2217","1045"
"Minneapolis-St. Paul MN-WI 2012","Lrg","2012","2785","16","1371","28765","23875","17.14","89.56","3.48","3.96","37444","18","96869","46","1.3","2200","1037"
"Minneapolis-St. Paul MN-WI 2013","Lrg","2013","2810","16","1383","29550","25831","17.39","89.6","3.49","3.88","38065","18","98477","46","1.31","2204","1039"
"Minneapolis-St. Paul MN-WI 2014","Lrg","2014","2815","16","1383","30259","26451","17.67","94.04","3.3","3.72","38542","18","99710","47","1.31","2196","1035"
"Nashville-Davidson TN 2011","Lrg","2011","1145","39","598","14974","11405","16.79","86.81","3.21","3.57","17862","21","36465","44","1.27","997","1150"
"Nashville-Davidson TN 2010","Lrg","2010","1130","39","589","14765","11246","16.3","88.12","2.58","2.84","17023","20","34751","42","1.26","980","1131"
"Nashville-Davidson TN 2012","Lrg","2012","1165","39","610","15260","11450","17.14","89.56","3.32","3.75","18930","22","38643","45","1.27","1035","1194"
"Nashville-Davidson TN 2013","Lrg","2013","1180","38","618","15817","11584","17.39","89.6","3.29","3.78","19017","22","38822","45","1.27","1025","1183"
"Nashville-Davidson TN 2014","Lrg","2014","1200","38","616","16339","11781","17.67","94.04","3.05","3.49","19093","22","38977","45","1.27","1013","1168"
"New Haven CT 2011","Med","2011","560","72","270","7860","4018","16.79","86.81","3.59","3.9","7854","19","16234","39","1.18","399","970"
"New Haven CT 2010","Med","2010","555","72","266","7873","4025","16.3","88.12","2.91","3.2","7832","19","16188","39","1.18","411","997"
"New Haven CT 2012","Med","2012","560","74","270","7465","4075","17.14","89.56","3.78","4.15","7870","19","16267","39","1.18","392","952"
